,POA_CODE16,POA_NAME16,AREASQKM16,hail_size
1850,5038,5038,5.7331,0.0
1851,5039,5039,4.6336,0.0
1852,5040,5040,1.7647,0.0
1853,5041,5041,6.2103,2.0
1854,5042,5042,8.6535,2.0
1855,5043,5043,8.2392,0.0
1856,5044,5044,4.1037,0.0
1857,5045,5045,5.7359,0.0
1858,5046,5046,4.0234,0.0
1859,5047,5047,4.1823,0.0
1860,5048,5048,5.8082,0.0
1861,5049,5049,9.1543,0.0
1862,5050,5050,6.5603,0.0
1863,5051,5051,17.6845,0.0
1864,5052,5052,16.0248,0.0
1865,5061,5061,4.0391,0.0
1866,5062,5062,16.5077,0.0
1867,5063,5063,3.8585,0.0
1868,5064,5064,7.8875,0.0
1869,5065,5065,4.2878,0.0
1870,5066,5066,9.0577,0.0
1871,5067,5067,3.9255,0.0
1872,5068,5068,5.0515,0.0
1873,5069,5069,3.8454,0.0
1874,5070,5070,6.2151,0.0
1875,5072,5072,14.2129,0.0
1876,5073,5073,7.5046,0.0
1877,5074,5074,5.6525,0.0
1878,5075,5075,5.6066,0.0
1879,5076,5076,10.6715,0.0
1880,5081,5081,4.1957,0.0
1881,5082,5082,5.6358,0.0
